Flag,Device,Mastering Type,Map,Notes
,10025-T50,simple,PLA/OLHD/LAGOA,
,10025-T23_7,simple,PLA/OLHD/LAGOA,
,10025-T23_1,simple,PLA/OLHD/LAGOA,
,10025-T23_7,simple,PLA/OLHD/LAGOA,
,10025-T23_6,simple,PLA/OLHD/LAGOA,
,RECEB TABATINGA,simple,ITAMARANDIBA,
,AP TABATINGA,simple,ITAMARANDIBA,
,10025-T17_12,simple,CAMPO LIMPO,
,10025-T62,simple,PLA/OLHD/LAGOA,
,10.201.11.17,simple,PLA/OLHD/LAGOA,
,ST-PEDREIRA,simple,ITAMARANDIBA,
,ST-PEDREIRA,simple,ITAMARANDIBA,
,10.200.15.81,simple,FLORES,
,10.200.15.81,simple,FLORES,
,10.200.15.92,simple,FLORES,
,FIBRA-ABADIA,simple,CAMPO LIMPO,
,AP-PATRICIA,simple,ITAMARANDIBA,
,10.200.206.82,simple,ITAMARANDIBA,
,10.200.206.82,simple,ITAMARANDIBA,
,NE8000,simple,TESTE,
,MC PARCEIRO,simple,TESTE,
,CRS CAPELINHA,simple,TESTE,
,CRS CAPELINHA,simple,TESTE,
,RADIO CAPELINHA,simple,TESTE,
,1036 CARBONITA,simple,TESTE,
,1036 CARBONITA,simple,TESTE,
,CRS CAPELINHA,simple,TESTE,
,CLIENTES FINAL CAMPO LIMPO 2800,simple,TESTE,
,CACARATIBA 2800,simple,TESTE,
,10025_T74_13_SIAE,simple,SERRA NEGRA,
,10025_T74_13_SIAE,simple,SERRA NEGRA,
,10.1.15.39(T74),simple,BACBONE,
,10.1.15.56(T77),simple,BACBONE,
,10.1.15.58(T26),simple,BACBONE,
,10.201.11.140,simple,CAMPO LIMPO,
,10.201.11.140,simple,CAMPO LIMPO,
,10.201.11.140,simple,CAMPO LIMPO,
,172.16.133.3,simple,CAMPO LIMPO,
,10025-T17_3,simple,CAMPO LIMPO,
,172.16.133.2,simple,CAMPO LIMPO,
,172.16.133.2,simple,CAMPO LIMPO,
,RB-750-CAPAO,simple,CAMPO LIMPO,
,10.201.11.140,simple,CAMPO LIMPO,
,10.1.15.50,simple,ITAMARANDIBA,
,10.1.15.50,simple,ITAMARANDIBA,
,10.1.15.50,simple,ITAMARANDIBA,
,CHACARA,simple,ITAMARANDIBA,
,DIVINO-BACKUP,simple,SERRA NEGRA,
,10025-T84_4,simple,ITAMARANDIBA,
,10025-T84_4,simple,ITAMARANDIBA,
,AP-PENHA,simple,ITAMARANDIBA,
,PENHA,simple,ITAMARANDIBA,
,CCR1016,simple,PLA/OLHD/LAGOA,
,CCR1016,simple,PLA/OLHD/LAGOA,
,CCR1016,simple,PLA/OLHD/LAGOA,
,TV A MIRANTE PENHA,simple,ITAMARANDIBA,
,10025-T123_2,simple,ITAMARANDIBA,
,10025-T123_3,simple,ITAMARANDIBA,
,10025-T76_1,simple,CARBONITA,
,10025-T76_4,simple,CARBONITA,
,10025-T76_1,simple,CARBONITA,
,NTC_T13 CONCENTRADOR PPPOE,simple,CARBONITA,
,10025_T13_12,simple,CARBONITA,
,NTC_T13 CONCENTRADOR PPPOE,simple,CARBONITA,
,10025_T13_13,simple,CARBONITA,
,10025-T76-RETIRO,simple,CARBONITA,
,10025-T80,simple,ITAMARANDIBA,
,10025-T80_3,simple,ITAMARANDIBA,
,10025-T80_1,simple,ITAMARANDIBA,
,10025-T35,simple,ITAMARANDIBA,
,10.200.206.76 TPLINK,simple,ITAMARANDIBA,
,10.100.15.41,simple,PLA/OLHD/LAGOA,
,10025-T57,simple,PLA/OLHD/LAGOA,
,10025-T56,simple,PLA/OLHD/LAGOA,
,10.100.16.76,simple,ITAMARANDIBA,
,10.100.16.78,simple,ITAMARANDIBA,
,10025-T123-2,simple,ITAMARANDIBA,
,10025-T122_3,simple,ITAMARANDIBA,
,10025-T123_2,simple,ITAMARANDIBA,
,10025-T123_3,simple,ITAMARANDIBA,
,10025-T123_4,simple,ITAMARANDIBA,
,ESCOLA-CD,simple,ITAMARANDIBA,
,RB-MIRANTE,simple,ITAMARANDIBA,
,RB-MIRANTE,simple,ITAMARANDIBA,
,RB-MIRANTE,simple,ITAMARANDIBA,
,AP-CACHOEIRA,simple,ITAMARANDIBA,
,10.100.16.203,simple,ITAMARANDIBA,
,10.100.16.204,simple,ITAMARANDIBA,
,10.100.16.163,simple,ITAMARANDIBA,
,10.100.16.164,simple,ITAMARANDIBA,
,10.100.16.164,simple,ITAMARANDIBA,
,MERCADINHO,simple,PLA/OLHD/LAGOA,
,10025-T57_1,simple,PLA/OLHD/LAGOA,
,10.201.11.123,simple,CARBONITA,
,10.201.11.118,simple,CARBONITA,
,10025-T77_1,simple,SERRA NEGRA,
,10025-T74_12(CORE),simple,SERRA NEGRA,
,AP-ESCOLA-SAO-GIL,simple,SERRA NEGRA,
,10.200.15.84,simple,FLORES,
,10.200.15.83,simple,FLORES,
,10.200.15.83,simple,FLORES,
,10.200.15.83,simple,FLORES,
,10.200.15.83,simple,FLORES,
,ST_OURO_FINO,simple,SERRA NEGRA,
,RB-750,simple,FLORES,
,10025-T32_2,simple,ITAMARANDIBA,
,10025-T123_1,simple,ITAMARANDIBA,
,177.184.176.42,simple,FLORES,
,AP-GROTAX,simple,PLA/OLHD/LAGOA,
,10025_T13_10,simple,CARBONITA,
,10.100.206.185,simple,SERRA NEGRA,
,10.100.206.185,simple,SERRA NEGRA,
,10025-T123_3,simple,ITAMARANDIBA,
,AP-JOAQUIM,simple,ITAMARANDIBA,
,NETCAR058-2,simple,SERRA NEGRA,
,10.201.11.114,simple,CARBONITA,
,10025-T73_6,simple,PLA/OLHD/LAGOA,
,10025-T57_1,simple,PLA/OLHD/LAGOA,
,10025-T66,simple,PLA/OLHD/LAGOA,
,10025_T13_2,simple,CARBONITA,
,10025_T13_2,simple,CARBONITA,
,10025_T13_2,simple,CARBONITA,
,10025-T122_3,simple,ITAMARANDIBA,
,10025-T122_1,simple,ITAMARANDIBA,
,10025-T122_4,simple,ITAMARANDIBA,
,NTC_T13 CONCENTRADOR PPPOE,simple,CARBONITA,
,AP SN,simple,CARBONITA,
,10025-T3_4,simple,CARBONITA,
,10025-T73_14,simple,PLA/OLHD/LAGOA,
,10025-T73_14,simple,PLA/OLHD/LAGOA,
,10025-T83,simple,PLA/OLHD/LAGOA,
,10.100.206.164,simple,SERRA NEGRA,
,10.1.15.49,simple,SERRA NEGRA,
,AP_LEO,simple,FLORES,
,AP-NICACIO,simple,CARBONITA,
,10025-T113_2,simple,CARBONITA,
,10025-T113_2,simple,CARBONITA,
,10.201.11.248,simple,PLA/OLHD/LAGOA,
,10.201.11.248,simple,PLA/OLHD/LAGOA,
,10.200.15.72,simple,FLORES,
,10.100.16.81,simple,ITAMARANDIBA,
,10.100.16.81,simple,ITAMARANDIBA,
,10.100.16.66,simple,ITAMARANDIBA,
,10.100.16.66,simple,ITAMARANDIBA,
,10.100.16.66,simple,ITAMARANDIBA,
,10025-T32 2011,simple,ITAMARANDIBA,
,10025-TDUDE,simple,CARBONITA,
,AP 58_4,simple,CARBONITA,
,NETCAR058-5,simple,CARBONITA,
,RB-ARCELOR-ESTIVA,simple,CARBONITA,
,10025-T12_6,simple,CARBONITA,
,10025_T12_5,simple,CARBONITA,
,AP-ROCA BA,simple,CARBONITA,
,AP-SN22,simple,CARBONITA,
,10025-T32 2011,simple,ITAMARANDIBA,
,10.100.16.2,simple,ITAMARANDIBA,
,10025-T32 2011,simple,ITAMARANDIBA,
,10025-T77_2,simple,SERRA NEGRA,
,10025-T77_2,simple,SERRA NEGRA,
,10.100.16.70,simple,ITAMARANDIBA,
,10.200.15.150,simple,PLA/OLHD/LAGOA,
,RB-OT,simple,CARBONITA,
,10025-T12_3,simple,CARBONITA,
,10025_T15,simple,CARBONITA,
,MundialNet_AP33,simple,CARBONITA,
,10.100.205.3,simple,PLA/OLHD/LAGOA,
,10025-T12_2,simple,CARBONITA,
,RB-JEQUI-IURY,simple,CARBONITA,
,10.200.15.147,simple,PLA/OLHD/LAGOA,
,10.200.15.147,simple,PLA/OLHD/LAGOA,
,NETCAR058_2,simple,PLA/OLHD/LAGOA,
,10.1.15.49,simple,SERRA NEGRA,
,10025-T74_13 SIAE,simple,SERRA NEGRA,
,10025-77-SIAE,simple,SERRA NEGRA,
,10.100.16.66,simple,ITAMARANDIBA,
,10.100.16.79,simple,ITAMARANDIBA,
,10025-T76,simple,SERRA NEGRA,
,10025-T123_3,simple,ITAMARANDIBA,
,10025_T15,simple,CARBONITA,
,10025-T14,simple,CARBONITA,
,10025-T40_10,simple,SERRA NEGRA,
,10025-T40_12,simple,SERRA NEGRA,
,10025_T81_1,simple,ITAMARANDIBA,
,10025-T40_11,simple,ITAMARANDIBA,
,10025-T40_10,simple,ITAMARANDIBA,
,10025-T40_11,simple,ITAMARANDIBA,
,10025-T40_4,simple,ITAMARANDIBA,
,10025-T40_5_RP_TOM,simple,ITAMARANDIBA,
,10025-T40_6,simple,ITAMARANDIBA,
,10025_T81_1,simple,ITAMARANDIBA,
,10025-T81_4 SIAE,simple,ITAMARANDIBA,
,10025-T25_2,simple,PLA/OLHD/LAGOA,
,10.201.11.167,simple,CARBONITA,
,ST DUBLON,simple,CARBONITA,
